ISO_NUM	ISO_3
784	ARE
10	ATA
784	ARE
4	AFG
818	EGY
826	GBR
248	ALA
840	USA
8	ALB
831	GGY
840	USA
12	DZA
850	VIR
581	UMI
16	ASM
690	SYC
356	IND
20	AND
24	AGO
660	AIA
28	ATG
226	GNQ
32	ARG
10	ATA
51	ARM
533	ABW
51	ARM
0	ASC
31	AZE
36	AUS
231	ETH
230	ETH
36	AUS
258	PYF
620	PRT
44	BHS
48	BHR
581	UMI
724	ESP
50	BGD
417	KGZ
52	BRB
744	SJM
744	SJM
31	AZE
260	ATF
56	BEL
84	BLZ
204	BEN
60	BMU
64	BTN
598	PNG
68	BOL
535	BES
392	JPN
70	BIH
72	BWA
74	BVT
76	BRA
92	VGB
86	IOT
96	BRN
100	BGR
280	DEU
854	BFA
108	BDI
276	DEU
24	AGO
796	TCA
380	ITA
724	ESP
724	ESP
152	CHL
10	ATA
156	CHN
454	MWI
860	UZB
0	CPT
218	ECU
470	MLT
184	COK
188	CRI
260	ATF
531	CUW
392	JPN
208	DNK
278	DDR
276	DEU
826	GBR
212	DMA
214	DOM
262	DJI
784	ARE
191	HRV
612	PCN
218	ECU
744	SJM
222	SLV
384	CIV
826	GBR
232	ERI
233	EST
260	ATF
238	FLK
234	FRO
242	FJI
246	FIN
250	FRA
260	ATF
254	GUF
258	PYF
784	ARE
266	GAB
218	ECU
270	GMB
258	PYF
275	PSE
268	GEO
258	PYF
288	GHA
292	GIB
260	ATF
470	MLT
10	ATA
308	GRD
300	GRC
304	GRL
826	GBR
312	GLP
316	GUM
840	USA
320	GTM
831	GGY
324	GIN
624	GNB
328	GUY
332	HTI
840	USA
334	HMD
612	PCN
528	NLD
340	HND
344	HKG
744	SJM
581	UMI
504	MAR
356	IND
360	IDN
833	IMN
903	XXC
368	IRQ
364	IRN
360	IDN
372	IRL
32	ARG
352	ISL
376	ISR
380	ITA
388	JAM
744	SJM
860	UZB
392	JPN
581	UMI
887	YEM
886	YEM
720	YMD
832	JEY
581	UMI
400	JOR
260	ATF
890	YUG
136	CYM
643	RUS
116	KHM
120	CMR
124	CAN
724	ESP
132	CPV
31	AZE
398	KAZ
634	QAT
166	CCK
404	KEN
260	ATF
581	UMI
417	KGZ
296	KIR
166	CCK
170	COL
643	RUS
174	COM
178	COG
180	COD
744	SJM
902	XXB
36	AUS
408	PRK
410	KOR
927	XXK
191	HRV
192	CUB
414	KWT
744	SJM
312	GLP
124	CAN
458	MYS
798	TUV
418	LAO
312	GLP
426	LSO
428	LVA
422	LBN
430	LBR
434	LBY
434	LBY
438	LIE
454	MWI
440	LTU
724	ESP
442	LUX
446	MAC
450	MDG
620	PRT
512	OMN
454	MWI
458	MYS
462	MDV
466	MLI
470	MLT
392	JPN
312	GLP
710	ZAF
504	MAR
258	PYF
584	MHL
474	MTQ
478	MRT
480	MUS
175	MYT
807	MKD
334	HMD
724	ESP
484	MEX
581	UMI
583	FSM
666	SPM
498	MDA
492	MCO
496	MNG
499	MNE
500	MSR
508	MOZ
512	OMN
104	MMR
31	AZE
784	ARE
516	NAM
520	NRU
840	USA
524	NPL
260	ATF
124	CAN
540	NCL
554	NZL
536	NTZ
558	NIC
528	NLD
530	ANT
562	NER
566	NGA
356	IND
570	NIU
826	GBR
580	MNP
744	SJM
196	CYP
574	NFK
840	USA
578	NOR
626	TLS
612	PCN
392	JPN
512	OMN
152	CHL
40	AUT
586	PAK
585	PLW
581	UMI
591	PAN
598	PNG
600	PRY
392	JPN
834	TZA
724	ESP
724	ESP
604	PER
608	PHL
612	PCN
840	USA
616	POL
620	PRT
710	ZAF
744	SJM
630	PRI
784	ARE
70	BIH
638	REU
504	MAR
392	JPN
170	COL
554	NZL
646	RWA
642	ROU
643	RUS
458	MYS
504	MAR
652	BLM
654	SHN
659	KNA
662	LCA
663	MAF
260	ATF
666	SPM
670	VCT
90	SLB
894	ZMB
882	WSM
674	SMR
834	TZA
678	STP
458	MYS
831	GGY
762	TJK
70	BIH
682	SAU
784	ARE
826	GBR
340	HND
752	SWE
756	CHE
686	SEN
688	SRB
891	SCG
170	COL
690	SYC
860	UZB
694	SLE
356	IND
716	ZWE
702	SGP
534	SXM
703	SVK
705	SVN
887	YEM
706	SOM
706	SOM
810	SUN
860	UZB
724	ESP
504	MAR
744	SJM
144	LKA
901	XXA
710	ZAF
736	SDN
729	SDN
239	SGS
239	SGS
239	SGS
10	ATA
728	SSD
740	SUR
744	SJM
748	SWZ
760	SYR
762	TJK
258	PYF
158	TWN
834	TZA
834	TZA
764	THA
156	CHN
626	TLS
780	TTO
768	TGO
772	TKL
776	TON
498	MDA
780	TTO
0	TTA
260	ATF
148	TCD
86	IOT
203	CZE
200	CSK
258	PYF
258	PYF
788	TUN
792	TUR
795	TKM
796	TCA
798	TUV
800	UGA
804	UKR
784	ARE
924	XXX
348	HUN
348	HUN
926	XXZ
858	URY
860	UZB
548	VUT
336	VAT
862	VEN
784	ARE
840	USA
826	GBR
704	VNM
704	VNM
714	VDR
762	TJK
392	JPN
581	UMI
826	GBR
876	WLF
162	CXR
112	BLR
275	PSE
732	ESH
31	AZE
180	ZAR
140	CAF
196	CYP
